ptn; 1; 2; 3; 4; 5
x5/x5/x5/x5/x5; 25; 600; 43320; 2999784; 187855252
x3,12,2S/x,22S,22C,11,21/121,212,12,1121C,1212S/21S,1,21,211S,12S/x,21S,2,x2; 91; 5632; 39502; 210766; 16170845
