"x5/x5/x5/x5/x5 1 1", 25, 600, 43320, 2999784
"x3,12,2S/x,22S,22C,11,21/121,212,12,1121C,1212S/21S,1,21,211S,12S/x,21S,2,x2 1 26", 91, 5684, 509822, 34330990
